"evaluation_id","evaluator_study_id","evaluator_honesty_answer","idea_id","participant_study_id","bot_type","originality","usefulness","purchase_intent","evaluation_order","time_spent_seconds","rater_num"
3179,"STUDY_627","yes",725,"STUDY_309","improvement",4,3,2,12,24,5
3939,"STUDY_111","yes",725,"STUDY_309","improvement",3,3,1,14,27,6
4250,"STUDY_161","yes",725,"STUDY_309","improvement",1,1,1,6,44,7
5132,"STUDY_610","yes",725,"STUDY_309","improvement",1,5,1,3,29,8
5607,"STUDY_293","yes",725,"STUDY_309","improvement",1,3,1,11,15,9
680,"STUDY_136","yes",1082,"STUDY_609","vanilla",3,4,3,20,15,1
1281,"STUDY_534","yes",1082,"STUDY_609","vanilla",4,4,3,15,55,2
2164,"STUDY_631","yes",1082,"STUDY_609","vanilla",4,6,4,7,17,3
2448,"STUDY_622","yes",1082,"STUDY_609","vanilla",3,3,1,8,30,4
3235,"STUDY_805","yes",1082,"STUDY_609","vanilla",5,5,3,19,20,5
5222,"STUDY_307","yes",1082,"STUDY_609","vanilla",2,5,1,15,23,6
5554,"STUDY_324","yes",1082,"STUDY_609","vanilla",5,4,2,3,19,7
5561,"STUDY_293","yes",1082,"STUDY_609","vanilla",2,3,1,2,21,8
5590,"STUDY_115","yes",1082,"STUDY_609","vanilla",4,6,3,18,21,9
5940,"STUDY_799","yes",1082,"STUDY_609","vanilla",3,4,1,19,16,10
1805,"STUDY_633","yes",1009,"STUDY_572","improvement",3,4,1,8,48,1
2042,"STUDY_102","yes",1009,"STUDY_572","improvement",5,3,2,8,18,2
2712,"STUDY_395","yes",1009,"STUDY_572","improvement",6,5,2,4,17,3
3671,"STUDY_359","yes",1009,"STUDY_572","improvement",5,5,2,16,17,4
4952,"STUDY_461","yes",1009,"STUDY_572","improvement",5,3,1,17,15,5
4975,"STUDY_190","yes",1009,"STUDY_572","improvement",6,1,1,20,18,6
5907,"STUDY_799","yes",1009,"STUDY_572","improvement",3,2,1,7,15,7
5944,"STUDY_753","yes",1009,"STUDY_572","improvement",3,2,1,20,17,8
5950,"STUDY_102","yes",1009,"STUDY_572","improvement",2,2,2,6,24,9
193,"STUDY_163","yes",1185,"STUDY_390","vanilla",3,5,1,3,25,1
286,"STUDY_228","yes",1185,"STUDY_390","vanilla",5,2,1,5,24,2
856,"STUDY_272","yes",1185,"STUDY_390","vanilla",6,3,1,13,18,3
1234,"STUDY_322","yes",1185,"STUDY_390","vanilla",4,2,1,14,16,4
1396,"STUDY_253","yes",1185,"STUDY_390","vanilla",5,5,3,20,23,5
3463,"STUDY_520","yes",1185,"STUDY_390","vanilla",2,4,2,3,21,6
3954,"STUDY_409","yes",1185,"STUDY_390","vanilla",1,5,3,10,18,7
4656,"STUDY_317","yes",1185,"STUDY_390","vanilla",1,1,1,14,20,8
5262,"STUDY_620","yes",1185,"STUDY_390","vanilla",1,6,4,10,19,9
5321,"STUDY_119","yes",1185,"STUDY_390","vanilla",4,5,2,17,23,10
6076,"STUDY_121","yes",1185,"STUDY_390","vanilla",7,5,1,19,15,11
6097,"STUDY_328","yes",1185,"STUDY_390","vanilla",4,5,3,20,19,12
1540,"STUDY_658","yes",771,"STUDY_409","feedback",6,5,3,15,13,1
1757,"STUDY_830","yes",771,"STUDY_409","feedback",2,6,3,13,32,2
2564,"STUDY_153","yes",771,"STUDY_409","feedback",2,5,1,14,15,3
3037,"STUDY_737","yes",771,"STUDY_409","feedback",1,1,1,10,26,4
3413,"STUDY_281","yes",771,"STUDY_409","feedback",2,2,1,16,28,5
3739,"STUDY_578","yes",771,"STUDY_409","feedback",3,5,3,12,17,6
4749,"STUDY_727","yes",771,"STUDY_409","feedback",5,5,3,4,19,7
5104,"STUDY_633","yes",771,"STUDY_409","feedback",2,3,1,13,14,8
542,"STUDY_985","yes",921,"STUDY_280","improvement",1,7,5,7,18,1
1043,"STUDY_568","yes",921,"STUDY_280","improvement",2,6,2,3,18,2
1460,"STUDY_447","yes",921,"STUDY_280","improvement",5,5,4,11,15,3
3281,"STUDY_367","yes",921,"STUDY_280","improvement",3,6,4,7,26,4
4229,"STUDY_784","yes",921,"STUDY_280","improvement",2,4,2,14,16,5
5211,"STUDY_307","yes",921,"STUDY_280","improvement",2,6,2,13,25,6
5421,"STUDY_146","yes",921,"STUDY_280","improvement",3,7,4,3,30,7
5583,"STUDY_324","yes",921,"STUDY_280","improvement",5,6,4,4,223,8
5728,"STUDY_713","yes",921,"STUDY_280","improvement",3,6,4,2,63,9
6132,"STUDY_551","yes",921,"STUDY_280","improvement",2,5,2,4,15,10
6450,"STUDY_552","yes",921,"STUDY_280","improvement",5,6,4,14,81,11
630,"STUDY_381","yes",793,"STUDY_888","generation",2,1,1,16,18,1
688,"STUDY_812","yes",793,"STUDY_888","generation",5,5,4,19,17,2
2533,"STUDY_300","yes",793,"STUDY_888","generation",7,7,5,1,32,3
2752,"STUDY_395","yes",793,"STUDY_888","generation",4,2,1,10,19,4
3007,"STUDY_766","yes",793,"STUDY_888","generation",2,5,2,19,15,5
3355,"STUDY_129","yes",793,"STUDY_888","generation",6,5,4,2,16,6
3498,"STUDY_520","yes",793,"STUDY_888","generation",4,4,1,8,48,7
4102,"STUDY_355","yes",793,"STUDY_888","generation",6,6,4,13,21,8
4997,"STUDY_433","yes",793,"STUDY_888","generation",4,3,2,18,21,9
5906,"STUDY_753","yes",793,"STUDY_888","generation",6,4,2,4,17,10
6442,"STUDY_552","yes",793,"STUDY_888","generation",5,4,2,10,25,11
511,"STUDY_666","yes",1209,"STUDY_576","generation",5,2,1,3,28,1
531,"STUDY_937","yes",1209,"STUDY_576","generation",4,4,2,16,23,2
3810,"STUDY_276","yes",1209,"STUDY_576","generation",6,5,4,6,23,3
4023,"STUDY_974","yes",1209,"STUDY_576","generation",3,2,1,5,23,4
4328,"STUDY_911","yes",1209,"STUDY_576","generation",5,3,1,18,20,5
5074,"STUDY_484","yes",1209,"STUDY_576","generation",3,3,2,14,18,6
6177,"STUDY_777","yes",1209,"STUDY_576","generation",4,1,1,3,17,7
6245,"STUDY_131","yes",1209,"STUDY_576","generation",5,4,2,6,19,8
6471,"STUDY_751","yes",1209,"STUDY_576","generation",7,4,4,4,30,9
1093,"STUDY_568","yes",1079,"STUDY_516","vanilla",4,5,1,11,17,1
1560,"STUDY_122","yes",1079,"STUDY_516","vanilla",6,5,2,9,40,2
2132,"STUDY_702","yes",1079,"STUDY_516","vanilla",5,6,3,11,45,3
2189,"STUDY_696","yes",1079,"STUDY_516","vanilla",4,5,3,15,38,4
2837,"STUDY_439","yes",1079,"STUDY_516","vanilla",1,2,1,3,19,5
3058,"STUDY_786","yes",1079,"STUDY_516","vanilla",2,4,1,10,16,6
3560,"STUDY_170","yes",1079,"STUDY_516","vanilla",2,3,3,18,18,7
3879,"STUDY_835","yes",1079,"STUDY_516","vanilla",6,7,5,16,31,8
4198,"STUDY_147","yes",1079,"STUDY_516","vanilla",2,2,1,1,172,9
6530,"STUDY_857","yes",1079,"STUDY_516","vanilla",2,7,5,5,70,10
392,"STUDY_519","yes",913,"STUDY_527","improvement",5,4,3,16,24,1
1134,"STUDY_628","yes",913,"STUDY_527","improvement",2,5,2,20,16,2
1433,"STUDY_557","yes",913,"STUDY_527","improvement",7,7,4,20,16,3
3295,"STUDY_401","yes",913,"STUDY_527","improvement",6,5,2,14,29,4
3780,"STUDY_928","yes",913,"STUDY_527","improvement",4,6,3,8,28,5
5102,"STUDY_345","yes",913,"STUDY_527","improvement",3,6,4,3,23,6
5806,"STUDY_967","yes",913,"STUDY_527","improvement",5,6,4,18,29,7
6265,"STUDY_214","yes",913,"STUDY_527","improvement",6,5,3,16,27,8
6429,"STUDY_426","yes",913,"STUDY_527","improvement",4,4,2,8,16,9
6556,"STUDY_857","yes",913,"STUDY_527","improvement",7,7,5,20,15,10
594,"STUDY_323","yes",876,"STUDY_771","improvement",4,3,1,11,20,1
813,"STUDY_332","yes",876,"STUDY_771","improvement",4,1,1,12,17,2
1641,"STUDY_291","yes",876,"STUDY_771","improvement",3,5,2,11,16,3
1650,"STUDY_549","yes",876,"STUDY_771","improvement",6,6,4,1,20,4
2570,"STUDY_886","yes",876,"STUDY_771","improvement",7,7,4,5,14,5
3041,"STUDY_786","yes",876,"STUDY_771","improvement",6,5,4,6,22,6
3423,"STUDY_218","yes",876,"STUDY_771","improvement",5,5,3,17,15,7
3728,"STUDY_578","yes",876,"STUDY_771","improvement",3,2,1,8,18,8
4276,"STUDY_160","yes",876,"STUDY_771","improvement",7,1,2,10,23,9
4332,"STUDY_911","yes",876,"STUDY_771","improvement",5,2,1,19,18,10
4399,"STUDY_330","yes",876,"STUDY_771","improvement",6,2,1,3,90,11
1898,"STUDY_873","yes",1323,"STUDY_235","feedback",4,5,4,6,29,1
2246,"STUDY_406","yes",1323,"STUDY_235","feedback",5,2,1,13,18,2
2623,"STUDY_886","yes",1323,"STUDY_235","feedback",7,7,1,14,17,3
2664,"STUDY_746","yes",1323,"STUDY_235","feedback",6,5,3,12,21,4
3296,"STUDY_841","yes",1323,"STUDY_235","feedback",4,3,1,2,25,5
4145,"STUDY_553","yes",1323,"STUDY_235","feedback",6,5,4,19,15,6
4802,"STUDY_819","yes",1323,"STUDY_235","feedback",6,6,4,2,33,7
5243,"STUDY_768","yes",1323,"STUDY_235","feedback",6,5,2,9,24,8
5931,"STUDY_799","yes",1323,"STUDY_235","feedback",2,3,1,15,37,9
2463,"STUDY_622","yes",1062,"STUDY_937","feedback",5,2,1,10,18,1
2523,"STUDY_950","yes",1062,"STUDY_937","feedback",5,6,4,1,30,2
3571,"STUDY_728","yes",1062,"STUDY_937","feedback",6,3,2,11,23,3
5231,"STUDY_307","yes",1062,"STUDY_937","feedback",6,6,2,17,31,4
5632,"STUDY_572","yes",1062,"STUDY_937","feedback",7,6,4,16,18,5
5725,"STUDY_820","yes",1062,"STUDY_937","feedback",7,7,3,4,19,6
5832,"STUDY_836","yes",1062,"STUDY_937","feedback",6,3,1,17,30,7
6349,"STUDY_466","yes",1062,"STUDY_937","feedback",6,7,5,16,14,8
623,"STUDY_136","yes",1037,"STUDY_360","feedback",3,2,1,5,16,1
848,"STUDY_907","yes",1037,"STUDY_360","feedback",2,3,1,1,46,2
2497,"STUDY_143","yes",1037,"STUDY_360","feedback",5,2,1,16,29,3
3495,"STUDY_715","yes",1037,"STUDY_360","feedback",5,4,1,11,27,4
4405,"STUDY_995","yes",1037,"STUDY_360","feedback",5,5,2,18,20,5
4469,"STUDY_748","yes",1037,"STUDY_360","feedback",4,3,1,5,42,6
4847,"STUDY_343","yes",1037,"STUDY_360","feedback",5,6,4,1,25,7
5413,"STUDY_629","yes",1037,"STUDY_360","feedback",6,5,3,10,18,8
5585,"STUDY_572","yes",1037,"STUDY_360","feedback",1,4,2,4,22,9
6147,"STUDY_214","yes",1037,"STUDY_360","feedback",5,5,3,4,26,10
6196,"STUDY_926","yes",1037,"STUDY_360","feedback",5,6,4,2,21,11
766,"STUDY_314","yes",1227,"STUDY_520","suggestion",2,3,1,7,17,1
820,"STUDY_272","yes",1227,"STUDY_520","suggestion",5,5,2,7,37,2
1677,"STUDY_633","yes",1227,"STUDY_520","suggestion",6,2,1,9,16,3
1881,"STUDY_333","yes",1227,"STUDY_520","suggestion",3,1,1,17,22,4
2500,"STUDY_602","yes",1227,"STUDY_520","suggestion",1,1,3,7,17,5
3494,"STUDY_520","yes",1227,"STUDY_520","suggestion",1,2,2,7,51,6
3858,"STUDY_835","yes",1227,"STUDY_520","suggestion",6,6,5,12,30,7
4466,"STUDY_748","yes",1227,"STUDY_520","suggestion",6,3,2,2,45,8
4576,"STUDY_119","yes",1227,"STUDY_520","suggestion",6,7,5,15,31,9
303,"STUDY_128","yes",901,"STUDY_750","control",2,6,3,9,13,1
413,"STUDY_872","yes",901,"STUDY_750","control",5,5,3,4,15,2
782,"STUDY_297","yes",901,"STUDY_750","control",4,3,2,8,41,3
809,"STUDY_314","yes",901,"STUDY_750","control",5,5,3,15,45,4
942,"STUDY_907","yes",901,"STUDY_750","control",1,6,4,13,25,5
993,"STUDY_656","yes",901,"STUDY_750","control",4,5,3,12,18,6
1978,"STUDY_808","yes",901,"STUDY_750","control",5,6,4,4,62,7
3587,"STUDY_950","yes",901,"STUDY_750","control",7,5,1,13,23,8
5186,"STUDY_394","yes",901,"STUDY_750","control",3,5,4,17,16,9
5866,"STUDY_681","yes",901,"STUDY_750","control",7,7,5,10,36,10
5993,"STUDY_391","yes",901,"STUDY_750","control",7,7,5,12,15,11
536,"STUDY_666","yes",1165,"STUDY_261","feedback",5,5,2,8,19,1
1222,"STUDY_908","yes",1165,"STUDY_261","feedback",4,4,1,18,16,2
1786,"STUDY_830","yes",1165,"STUDY_261","feedback",5,2,1,15,63,3
2992,"STUDY_777","yes",1165,"STUDY_261","feedback",7,7,3,15,68,4
3476,"STUDY_324","yes",1165,"STUDY_261","feedback",4,4,1,16,27,5
4990,"STUDY_433","yes",1165,"STUDY_261","feedback",3,1,1,15,20,6
5286,"STUDY_119","yes",1165,"STUDY_261","feedback",6,3,1,6,21,7
5479,"STUDY_146","yes",1165,"STUDY_261","feedback",6,3,1,18,25,8
5665,"STUDY_185","yes",1165,"STUDY_261","feedback",6,5,3,13,46,9
6234,"STUDY_131","yes",1165,"STUDY_261","feedback",7,4,3,4,20,10
1098,"STUDY_628","yes",858,"STUDY_232","feedback",1,4,1,15,19,1
1143,"STUDY_568","yes",858,"STUDY_232","feedback",2,5,2,19,18,2
1210,"STUDY_992","yes",858,"STUDY_232","feedback",3,4,2,11,14,3
1482,"STUDY_447","yes",858,"STUDY_232","feedback",3,4,3,17,19,4
2133,"STUDY_702","yes",858,"STUDY_232","feedback",6,6,4,12,32,5
2646,"STUDY_163","yes",858,"STUDY_232","feedback",4,4,3,18,19,6
4139,"STUDY_553","yes",858,"STUDY_232","feedback",6,6,3,15,18,7
5436,"STUDY_754","yes",858,"STUDY_232","feedback",1,4,1,1,42,8
5444,"STUDY_146","yes",858,"STUDY_232","feedback",4,7,5,11,28,9
5552,"STUDY_324","yes",858,"STUDY_232","feedback",3,5,3,2,16,10
758,"STUDY_297","yes",767,"STUDY_858","feedback",4,5,2,5,40,1
811,"STUDY_272","yes",767,"STUDY_858","feedback",5,5,5,6,20,2
2000,"STUDY_620","yes",767,"STUDY_858","feedback",4,2,1,11,21,3
2944,"STUDY_363","yes",767,"STUDY_858","feedback",4,2,2,19,22,4
3047,"STUDY_786","yes",767,"STUDY_858","feedback",4,6,4,7,25,5
3290,"STUDY_281","yes",767,"STUDY_858","feedback",5,3,1,1,28,6
4572,"STUDY_861","yes",767,"STUDY_858","feedback",3,3,2,6,15,7
4645,"STUDY_317","yes",767,"STUDY_858","feedback",5,6,5,9,22,8
5117,"STUDY_633","yes",767,"STUDY_858","feedback",6,5,3,17,16,9
642,"STUDY_372","yes",769,"STUDY_316","vanilla",3,2,1,8,19,1
683,"STUDY_414","yes",769,"STUDY_316","vanilla",7,7,5,10,24,2
2075,"STUDY_431","yes",769,"STUDY_316","vanilla",3,3,2,19,40,3
3072,"STUDY_812","yes",769,"STUDY_316","vanilla",6,5,2,2,34,4
4222,"STUDY_492","yes",769,"STUDY_316","vanilla",3,3,2,20,13,5
4760,"STUDY_436","yes",769,"STUDY_316","vanilla",6,5,1,4,20,6
5374,"STUDY_708","yes",769,"STUDY_316","vanilla",2,3,2,8,20,7
5451,"STUDY_754","yes",769,"STUDY_316","vanilla",7,1,1,7,14,8
5547,"STUDY_646","yes",769,"STUDY_316","vanilla",2,3,2,10,114,9
277,"STUDY_355","yes",998,"STUDY_459","improvement",7,7,4,7,23,1
601,"STUDY_381","yes",998,"STUDY_459","improvement",4,3,1,8,17,2
1726,"STUDY_676","yes",998,"STUDY_459","improvement",3,5,4,6,14,3
3765,"STUDY_295","yes",998,"STUDY_459","improvement",2,4,1,14,20,4
4171,"STUDY_748","yes",998,"STUDY_459","improvement",6,5,4,10,14,5
4722,"STUDY_879","yes",998,"STUDY_459","improvement",6,6,4,19,19,6
5061,"STUDY_214","yes",998,"STUDY_459","improvement",5,2,1,5,18,7
5238,"STUDY_768","yes",998,"STUDY_459","improvement",6,2,1,7,36,8
5827,"STUDY_477","yes",998,"STUDY_459","improvement",6,6,4,18,22,9
814,"STUDY_314","yes",708,"STUDY_253","vanilla",1,2,2,16,36,1
1780,"STUDY_866","yes",708,"STUDY_253","vanilla",5,5,3,17,38,2
4005,"STUDY_511","yes",708,"STUDY_253","vanilla",3,5,1,1,21,3
4287,"STUDY_160","yes",708,"STUDY_253","vanilla",2,1,1,15,30,4
5881,"STUDY_681","yes",708,"STUDY_253","vanilla",2,6,4,13,18,5
5911,"STUDY_602","yes",708,"STUDY_253","vanilla",7,7,5,18,16,6
6079,"STUDY_121","yes",708,"STUDY_253","vanilla",6,6,1,20,16,7
6303,"STUDY_739","yes",708,"STUDY_253","vanilla",7,6,3,3,71,8
263,"STUDY_228","yes",908,"STUDY_639","control",7,5,3,1,20,1
2012,"STUDY_620","yes",908,"STUDY_639","control",2,1,1,14,29,2
2279,"STUDY_100","yes",908,"STUDY_639","control",2,3,2,17,42,3
2343,"STUDY_477","yes",908,"STUDY_639","control",1,1,1,9,35,4
2655,"STUDY_602","yes",908,"STUDY_639","control",1,1,1,20,19,5
2746,"STUDY_512","yes",908,"STUDY_639","control",2,5,2,3,37,6
3187,"STUDY_290","yes",908,"STUDY_639","control",4,5,4,14,17,7
3639,"STUDY_347","yes",908,"STUDY_639","control",4,2,1,9,15,8
4087,"STUDY_355","yes",908,"STUDY_639","control",1,3,1,8,18,9
6148,"STUDY_445","yes",908,"STUDY_639","control",5,5,2,13,15,10
6294,"STUDY_695","yes",908,"STUDY_639","control",1,7,3,1,17,11
510,"STUDY_937","yes",955,"STUDY_148","improvement",3,3,1,12,19,1
1828,"STUDY_633","yes",955,"STUDY_148","improvement",3,3,1,13,16,2
3577,"STUDY_950","yes",955,"STUDY_148","improvement",7,3,1,11,26,3
3687,"STUDY_916","yes",955,"STUDY_148","improvement",3,5,3,3,23,4
3864,"STUDY_397","yes",955,"STUDY_148","improvement",5,4,2,19,17,5
4100,"STUDY_676","yes",955,"STUDY_148","improvement",7,2,2,20,16,6
4633,"STUDY_975","yes",955,"STUDY_148","improvement",6,3,1,7,20,7
4776,"STUDY_727","yes",955,"STUDY_148","improvement",4,4,2,8,144,8
6041,"STUDY_328","yes",955,"STUDY_148","improvement",4,1,1,10,23,9
6052,"STUDY_121","yes",955,"STUDY_148","improvement",7,6,2,11,16,10
6100,"STUDY_608","yes",955,"STUDY_148","improvement",3,4,1,20,20,11
817,"STUDY_332","yes",1035,"STUDY_443","feedback",3,2,1,13,16,1
1916,"STUDY_873","yes",1035,"STUDY_443","feedback",1,6,4,10,24,2
2502,"STUDY_424","yes",1035,"STUDY_443","feedback",1,2,1,14,25,3
2750,"STUDY_478","yes",1035,"STUDY_443","feedback",2,3,1,6,16,4
3011,"STUDY_777","yes",1035,"STUDY_443","feedback",6,5,2,17,20,5
3263,"STUDY_783","yes",1035,"STUDY_443","feedback",1,5,3,15,18,6
4495,"STUDY_466","yes",1035,"STUDY_443","feedback",5,6,4,2,17,7
4540,"STUDY_924","yes",1035,"STUDY_443","feedback",5,2,2,9,32,8
5430,"STUDY_629","yes",1035,"STUDY_443","feedback",6,5,3,20,18,9
681,"STUDY_812","yes",710,"STUDY_756","feedback",3,5,3,17,18,1
883,"STUDY_495","yes",710,"STUDY_756","feedback",4,2,1,2,52,2
1170,"STUDY_621","yes",710,"STUDY_756","feedback",5,5,4,20,18,3
2335,"STUDY_596","yes",710,"STUDY_756","feedback",6,5,3,12,103,4
2902,"STUDY_672","yes",710,"STUDY_756","feedback",3,2,1,13,25,5
3549,"STUDY_170","yes",710,"STUDY_756","feedback",5,6,4,15,20,6
3772,"STUDY_295","yes",710,"STUDY_756","feedback",5,5,1,18,20,7
4680,"STUDY_879","yes",710,"STUDY_756","feedback",5,6,3,12,24,8
5624,"STUDY_324","yes",710,"STUDY_756","feedback",6,6,4,15,21,9
5748,"STUDY_820","yes",710,"STUDY_756","feedback",2,1,1,14,22,10
6473,"STUDY_350","yes",710,"STUDY_756","feedback",2,5,1,1,81,11
945,"STUDY_960","yes",1214,"STUDY_111","suggestion",3,6,4,13,17,1
1960,"STUDY_873","yes",1214,"STUDY_111","suggestion",4,3,2,20,16,2
2713,"STUDY_789","yes",1214,"STUDY_111","suggestion",4,5,2,12,25,3
2865,"STUDY_359","yes",1214,"STUDY_111","suggestion",5,5,4,16,20,4
3508,"STUDY_715","yes",1214,"STUDY_111","suggestion",5,5,2,15,18,5
4099,"STUDY_355","yes",1214,"STUDY_111","suggestion",4,6,5,12,52,6
5317,"STUDY_229","yes",1214,"STUDY_111","suggestion",4,4,2,18,20,7
6230,"STUDY_926","yes",1214,"STUDY_111","suggestion",4,7,4,9,18,8
6452,"STUDY_552","yes",1214,"STUDY_111","suggestion",4,5,3,15,26,9
6517,"STUDY_751","yes",1214,"STUDY_111","suggestion",3,5,4,15,36,10
415,"STUDY_139","yes",990,"STUDY_745","improvement",5,5,1,14,17,1
902,"STUDY_374","yes",990,"STUDY_745","improvement",5,5,4,13,59,2
1280,"STUDY_655","yes",990,"STUDY_745","improvement",5,5,1,10,42,3
3045,"STUDY_819","yes",990,"STUDY_745","improvement",5,5,2,1,27,4
3479,"STUDY_149","yes",990,"STUDY_745","improvement",3,2,1,16,14,5
4518,"STUDY_466","yes",990,"STUDY_745","improvement",6,7,5,14,44,6
5325,"STUDY_229","yes",990,"STUDY_745","improvement",4,6,4,20,21,7
5663,"STUDY_185","yes",990,"STUDY_745","improvement",3,6,4,12,45,8
5974,"STUDY_391","yes",990,"STUDY_745","improvement",7,7,4,2,17,9
6393,"STUDY_446","yes",990,"STUDY_745","improvement",4,3,1,9,22,10
417,"STUDY_519","yes",967,"STUDY_252","improvement",4,2,1,18,30,1
491,"STUDY_985","yes",967,"STUDY_252","improvement",6,7,1,1,29,2
1100,"STUDY_389","yes",967,"STUDY_252","improvement",5,3,2,10,15,3
1686,"STUDY_830","yes",967,"STUDY_252","improvement",2,3,1,1,51,4
3337,"STUDY_281","yes",967,"STUDY_252","improvement",2,5,1,8,44,5
3380,"STUDY_949","yes",967,"STUDY_252","improvement",5,6,4,8,19,6
3410,"STUDY_715","yes",967,"STUDY_252","improvement",3,3,1,7,22,7
3490,"STUDY_324","yes",967,"STUDY_252","improvement",3,5,3,19,17,8
4606,"STUDY_696","yes",967,"STUDY_252","improvement",4,4,2,5,18,9
5672,"STUDY_481","yes",967,"STUDY_252","improvement",2,3,1,12,21,10
5973,"STUDY_391","yes",967,"STUDY_252","improvement",6,7,3,1,21,11
2631,"STUDY_602","yes",930,"STUDY_804","improvement",3,3,1,15,37,1
3268,"STUDY_783","yes",930,"STUDY_804","improvement",5,2,2,17,16,2
4300,"STUDY_857","yes",930,"STUDY_804","improvement",6,2,2,1,28,3
4385,"STUDY_995","yes",930,"STUDY_804","improvement",4,4,4,5,510,4
4534,"STUDY_924","yes",930,"STUDY_804","improvement",5,2,2,6,38,5
4875,"STUDY_819","yes",930,"STUDY_804","improvement",4,1,1,20,18,6
5965,"STUDY_102","yes",930,"STUDY_804","improvement",3,5,3,20,25,7
6187,"STUDY_606","yes",930,"STUDY_804","improvement",4,3,1,3,18,8
6252,"STUDY_145","yes",930,"STUDY_804","improvement",6,4,4,1,20,9
6271,"STUDY_926","yes",930,"STUDY_804","improvement",5,5,3,15,21,10
6299,"STUDY_131","yes",930,"STUDY_804","improvement",7,3,4,20,17,11
1057,"STUDY_568","yes",879,"STUDY_743","suggestion",5,2,1,6,16,1
1237,"STUDY_534","yes",879,"STUDY_743","suggestion",4,4,3,6,42,2
1635,"STUDY_881","yes",879,"STUDY_743","suggestion",2,2,1,16,14,3
3621,"STUDY_859","yes",879,"STUDY_743","suggestion",5,4,1,3,61,4
4271,"STUDY_911","yes",879,"STUDY_743","suggestion",6,6,2,1,30,5
4354,"STUDY_156","yes",879,"STUDY_743","suggestion",5,5,4,13,44,6
5743,"STUDY_713","yes",879,"STUDY_743","suggestion",6,6,4,7,20,7
6521,"STUDY_751","yes",879,"STUDY_743","suggestion",7,3,4,16,19,8
224,"STUDY_274","yes",750,"STUDY_912","suggestion",3,3,1,12,19,1
307,"STUDY_519","yes",750,"STUDY_912","suggestion",3,2,1,11,16,2
2879,"STUDY_269","yes",750,"STUDY_912","suggestion",6,7,5,17,16,3
3539,"STUDY_170","yes",750,"STUDY_912","suggestion",4,3,1,13,18,4
4006,"STUDY_511","yes",750,"STUDY_912","suggestion",5,5,4,2,17,5
4281,"STUDY_160","yes",750,"STUDY_912","suggestion",6,4,1,12,20,6
4390,"STUDY_995","yes",750,"STUDY_912","suggestion",5,5,3,6,99,7
5098,"STUDY_484","yes",750,"STUDY_912","suggestion",6,6,5,14,17,8
5999,"STUDY_608","yes",750,"STUDY_912","suggestion",5,1,1,4,25,9
6159,"STUDY_295","yes",750,"STUDY_912","suggestion",5,2,1,19,14,10
603,"STUDY_381","yes",724,"STUDY_843","improvement",4,2,1,10,25,1
725,"STUDY_319","yes",724,"STUDY_843","improvement",6,2,1,8,23,2
744,"STUDY_297","yes",724,"STUDY_843","improvement",5,2,2,3,62,3
752,"STUDY_332","yes",724,"STUDY_843","improvement",6,2,1,3,34,4
922,"STUDY_907","yes",724,"STUDY_843","improvement",4,3,2,10,29,5
1466,"STUDY_533","yes",724,"STUDY_843","improvement",6,1,1,20,18,6
2314,"STUDY_477","yes",724,"STUDY_843","improvement",6,3,2,4,26,7
