"row_type","submission_id","study_id","bot_type","idea","questionnaire_completed","ac1","ac2","ai1","cse1","cse2","cse3","ee1","ee2","ee3","ee4","hm1","hm2","hm3","io1","io2","io3","io4","io5","mc1","pe1","pe2","pe3","pta1","pta2","pta3","pta4","pta5","ptt1","ptt2","ptt3","ptt4","ptt5","ptt6","tlx1","tlx2","honesty_question_answer","refined_idea","refined_idea_created_at","eval_count","eval_originality_avg","eval_usefulness_avg","eval_purchase_avg","total_study_time_seconds","ptt2_rev","Creative_Self_Efficacy","Perceived_Technology_Agency","NASA_TLX","Performance_Expectancy","Effort_Expectancy","Hedonic_Motivation","Propensity_to_Trust_Technology","Perceived_Ownership","originality_rater_1","originality_rater_2","originality_rater_3","originality_rater_4","originality_rater_5","originality_rater_6","originality_rater_7","originality_rater_8","originality_rater_9","originality_rater_10","originality_rater_11","originality_rater_12","originality_rater_13","usefulness_rater_1","usefulness_rater_2","usefulness_rater_3","usefulness_rater_4","usefulness_rater_5","usefulness_rater_6","usefulness_rater_7","usefulness_rater_8","usefulness_rater_9","usefulness_rater_10","usefulness_rater_11","usefulness_rater_12","usefulness_rater_13","purchase_intent_rater_1","purchase_intent_rater_2","purchase_intent_rater_3","purchase_intent_rater_4","purchase_intent_rater_5","purchase_intent_rater_6","purchase_intent_rater_7","purchase_intent_rater_8","purchase_intent_rater_9","purchase_intent_rater_10","purchase_intent_rater_11","purchase_intent_rater_12","purchase_intent_rater_13","originality_mean","usefulness_mean","purchase_intent_mean","rater_count","Submission.id","Time.taken","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","refined_div_allideas","refined_div_condition","idea_div_allideas","idea_div_condition","refined_div_to_initial_centroid","Idea_Quality","refined_div_allideas_logit","refined_div_condition_logit","idea_div_allideas_logit","idea_div_condition_logit"
"submission",744,"STUDY_290","feedback","Hangover recovery kit with essentials such as hydration tablets, a sleep mask etc","Yes",2,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,10,5,6,6,2,3,2,2,5,3,2,3,4,5,5,70,60,"no","A hangover recovery kit designed for UK university students, who frequently go out drinking, providing essential items such as hydration tablets and a sleep mask to support their lifestyle and recovery needs, intended for use the next morning after a night out, and offering the convenience and simplicity of having everything needed in one package.","2025-11-19T15:56:01.388603",0,NA,NA,NA,480,6,7,2.8,65,5.66666666666667,7,7,4.33333333333333,6.8,4,3,1,2,2,3,5,2,2,1,2,NA,NA,4,7,2,3,5,4,4,2,3,1,4,NA,NA,1,5,1,1,1,3,2,1,1,1,1,NA,NA,2.45454545454545,3.54545454545455,1.63636363636364,11,"691de6433182be0170005383",724,"36","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0.403593515341595,0.390596935674398,0.519252535009698,0.523248365136815,0.470911532310297,3,-0.390514234525743,-0.444803721733383,0.0770482333804926,0.0930605632232662
"submission",745,"STUDY_909","feedback","a text-to-speech dictaphone for recording lectures ","Yes",2,5,4,4,4,3,6,6,6,5,5,4,5,6,6,6,2,6,52,6,6,5,4,4,4,3,3,2,4,4,2,3,2,75,65,"no","A camera device or mobile app for UK university students that captures photos of lecture materials (like slides), automatically translates and summarises the content with advanced AI for greater accuracy (including less common languages and dialects), uploads and organises notes for easy reference, and syncs with other work apps to streamline workflow. Designed to comply with university recording and data protection guidelines, this solution is personalised to each user and primarily supports students whose first language isn't English, reducing manual note-taking, translation errors, and administrative work. It can also incorporate offline work capability, for those with poor or no internet connection in university buildings or elsewhere.","2025-11-19T15:59:56.073927",0,NA,NA,NA,729,4,3.66666666666667,3.6,70,5.66666666666667,5.75,4.66666666666667,2.83333333333333,5.2,4,5,5,5,5,4,3,5,6,4,NA,NA,NA,5,6,7,5,6,5,3,5,6,6,NA,NA,NA,1,4,2,4,3,3,1,3,4,1,NA,NA,NA,4.6,5.4,2.6,10,"691de6869fb63761f45357d6",916,"34","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0.339945658340553,0.316247716098247,0.524025657179633,0.512319074322279,0.422419345050869,5,-0.663536391052563,-0.771069875797191,0.0961766960648182,0.0492862717900161
"submission",746,"STUDY_200","feedback","A weighted/memory foam cushion that can make it less uncomfortable to sit for long periods. ","Yes",2,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,6,7,20,6,6,6,2,2,3,2,2,5,2,3,3,3,3,75,55,"no","A weighted/memory foam cushion designed for UK university students who sit for long periods at their home desks, compatible with standard work chairs, weather-appropriate for the UK climate, portable, non-slip to stay in place on chairs, and accommodating varied sitting positions like cross-legged, feet up, and frequent repositioning or fidgeting to reduce discomfort in the butt muscles and lower back, while providing a sensory outlet through its weight for students with attention issues. The cushion comes in a variety of cheerful colors and covers to appeal to young people.","2025-11-19T16:00:19.501717",0,NA,NA,NA,628,6,6,2.2,65,6,6,6,3.83333333333333,6.8,5,2,6,7,5,5,4,1,6,4,NA,NA,NA,5,5,4,7,3,6,5,2,5,5,NA,NA,NA,2,3,2,5,3,4,4,1,4,2,NA,NA,NA,4.5,4.7,3,10,"691de685b82b2a12b78cb9f5",917,"27","Prefer not to say","Asian","Pakistan","United Kingdom","Pakistan","English","DATA_EXPIRED","DATA_EXPIRED",0.414480956367224,0.395063087274848,0.627107061124692,0.623877924472906,0.477945772507882,4.6,-0.345471678033356,-0.42607870933835,0.519825926151909,0.506040955721736
"submission",747,"STUDY_740","suggestion","collapsible book trolley","Yes",2,5,1,4,4,4,4,4,4,4,2,2,2,5,5,6,4,7,26,4,4,4,3,3,3,3,3,2,4,2,2,2,2,25,25,"no","collapsible book trolley that doubles a study station","2025-11-19T16:05:23.508109",0,NA,NA,NA,428,4,4,3,25,4,4,2,2.33333333333333,5.4,3,1,6,5,5,6,6,2,5,7,4,NA,NA,4,4,7,4,6,7,6,4,6,3,4,NA,NA,1,1,4,2,2,4,4,2,3,1,1,NA,NA,4.54545454545455,5,2.27272727272727,11,"691de8f7f96156718c9ae6ae",578,"55","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",0.44132203731379,0.43814641446872,0.520633804439767,0.518825058954335,0.409560341938199,4.77272727272727,-0.235798359484058,-0.248688157859317,0.0825821186116847,0.0753358462586287
"submission",748,"STUDY_275","suggestion","Portable charger mug","Yes",2,5,5,7,6,5,6,7,7,6,7,6,6,7,3,5,4,7,71,7,6,7,2,3,5,2,4,5,2,4,5,4,4,40,55,"no","A modular portable charger mug with a detachable power bank station with a wide variety of charging ports and types, a thick outershell to protect your hands. The point of the mug is it uses the excess heat captured to charge your devices. The mug also contains a display of the battery percentage as well as the drink temperature to which you can set alert.","2025-11-19T16:04:19.725794",0,NA,NA,NA,520,6,6,3.2,47.5,6.66666666666667,6.5,6.33333333333333,4.66666666666667,5.2,7,4,5,5,6,7,5,6,4,5,NA,NA,NA,6,2,2,5,4,6,5,6,1,3,NA,NA,NA,3,2,1,4,3,4,4,4,1,2,NA,NA,NA,5.4,4,2.8,10,"691de969ccacf254014b9db1",599,"25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Full-Time",0.454380811262711,0.444280295908205,0.468870458100777,0.443198263392932,0.445896441674982,4.7,-0.18298563810379,-0.223808377464772,-0.12467942831461,-0.22819201083357
"submission",749,"STUDY_755","suggestion","A warm and knitted beanie hat suitable for men and women alike.","Yes",2,5,3,7,7,7,6,5,5,6,6,5,6,7,7,7,7,7,39,4,5,5,3,4,3,3,3,4,2,4,4,4,4,70,75,"no","A warm and knitted beanie hat suitable for men and women alike. It can be worn inside out as well with both warm and cold options. Has removable florescent strips for night time.","2025-11-19T16:03:08.085783",0,NA,NA,NA,213,6,7,3.2,72.5,4.66666666666667,5.5,5.66666666666667,4.33333333333333,7,5,5,1,2,3,1,1,2,3,NA,NA,NA,NA,5,4,2,1,1,5,2,2,6,NA,NA,NA,NA,3,3,1,1,2,1,1,1,4,NA,NA,NA,NA,2.55555555555556,3.11111111111111,1.88888888888889,9,"691de97d7666e3b539692449",295,"56","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0.625102286223848,0.606555776863503,0.663322444973898,0.668008605586743,0.577377435505804,2.83333333333333,0.511262068803902,0.432857377018518,0.67813555199759,0.69919200793
"submission",750,"STUDY_864","suggestion","An iphone case in a wallet shape that also has storage space for vape pods","Yes",2,5,5,7,7,7,7,7,7,7,2,2,2,7,7,7,7,7,0,2,2,2,5,5,4,5,5,2,5,2,2,2,1,10,10,"no","An iphone case in a wallet shape that also has storage space for vape pods, and other essentials such as credit cards. It should not be too cumbersome or unwieldy, light and convenient enough to be carried around in a pocket","2025-11-19T16:03:08.745076",0,NA,NA,NA,214,3,7,4.8,10,2,7,2,2,7,3,1,1,3,4,5,6,2,4,7,4,NA,NA,3,1,1,1,3,3,6,2,1,7,4,NA,NA,1,1,1,1,1,3,4,1,1,2,2,NA,NA,3.63636363636364,2.90909090909091,1.63636363636364,11,"691de99135186e813c6c8a3a",297,"54","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0.503126962507441,0.474821951514682,0.502432011229861,0.499246084714738,0.464163070621929,3.27272727272727,0.0125080131008404,-0.100797450220181,0.00972812163821234,-0.0030156634264718
"submission",751,"STUDY_873","suggestion","an integrated pen and pencil to reduce clutter on a desk","Yes",2,5,3,5,5,4,6,6,6,6,4,4,4,7,7,7,7,7,8,2,2,2,2,2,2,5,3,4,2,4,4,4,4,60,60,"no","a one piece biro and pencil combined to reduce clutter on a desk","2025-11-19T16:05:12.568336",0,NA,NA,NA,335,6,4.66666666666667,2.8,60,2,6,4,4.33333333333333,7,7,2,2,3,1,2,2,1,3,NA,NA,NA,NA,7,4,2,2,1,1,2,1,4,NA,NA,NA,NA,5,2,1,1,1,1,1,1,3,NA,NA,NA,NA,2.55555555555556,2.66666666666667,1.77777777777778,9,"691de98f6f1015afe7becd74",449,"72","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",0.548223799601041,0.531638138368755,0.467066605103712,0.481325441924126,0.488745025187465,2.61111111111111,0.193496671657406,0.126721861110957,-0.131924582838657,-0.0747329949979387
"submission",752,"STUDY_369","suggestion","The product I propose is an affirmation telling device","Yes",2,5,4,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,49,6,6,6,3,3,4,4,4,4,2,4,4,4,4,50,50,"no","The product I propose is an affirmation telling device. In moments and scenarios where you wouldn't expect, a few stickers or ribbons could be placed in common places you visit and get exposed when you have come in contact with them. The epiphany and realisation would come to a pleasant surprise increasing one's mood. The device would be interactive and you can get a collection out of them. Some could be limited edition and special too.","2025-11-19T16:08:58.111421",0,NA,NA,NA,431,6,5,3.6,50,6,6,6,4.33333333333333,5.2,1,5,6,2,6,4,6,7,5,NA,NA,NA,NA,1,2,1,1,5,1,2,7,2,NA,NA,NA,NA,1,2,1,1,4,1,1,5,1,NA,NA,NA,NA,4.66666666666667,2.44444444444444,1.88888888888889,9,"691de9731a3cd8e41371843a",708,"22","Male","Black","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time",0.453586779337178,0.433978290966042,0.549156087998344,0.575485120181855,0.503765252166172,3.55555555555556,-0.186188897999342,-0.265637920617561,0.197261527918136,0.304266314653878
"submission",753,"STUDY_395","suggestion","a Thermus cup that has the ability to reheat aswell as preserve hot drinks in.","Yes",2,5,3,7,7,6,7,7,7,7,5,5,6,7,6,7,7,7,23,7,7,7,2,4,5,3,2,5,2,4,4,4,2,75,90,"no","a Thermus cup that has the ability to reheat as well as preserve hot drinks in. It also has a mix option so you can mix drinks whihc have been sat in it for a while, or also use it for adding supplements to drinks like powder or tea and tablets. Also ass a USB charging port so they can charge it n the go. Offer different colours and sizes.","2025-11-19T16:07:34.425174",0,NA,NA,NA,384,6,6.66666666666667,3.2,82.5,7,7,5.33333333333333,4.16666666666667,6.8,1,5,2,3,5,2,1,1,1,NA,NA,NA,NA,3,5,6,3,6,5,4,3,7,NA,NA,NA,NA,1,4,4,2,4,1,1,1,3,NA,NA,NA,NA,2.33333333333333,4.66666666666667,2.33333333333333,9,"691de9cf48058b45e1cd5cfe",571,"30","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0.507651050277067,0.486524951269542,0.521386418554805,0.520644515611709,0.48385315802656,3.5,0.0306065901454925,-0.0539132499879896,0.0855979006089538,0.0826250364271085
"submission",754,"STUDY_402","suggestion","Smart Portioning Meal Prep Scoop","Yes",2,5,5,7,6,6,7,6,6,5,6,6,7,7,7,5,5,6,38,7,7,6,4,4,5,4,5,5,2,5,4,4,4,35,50,"no","Smart Portioning Meal Prep Scoop","2025-11-19T16:11:14.734379",0,NA,NA,NA,2240,6,6.33333333333333,4.4,42.5,6.66666666666667,6,6.33333333333333,4.66666666666667,6,2,3,2,3,2,3,3,2,5,NA,NA,NA,NA,3,5,2,3,1,1,2,3,5,NA,NA,NA,NA,2,4,1,1,1,1,1,1,1,NA,NA,NA,NA,2.77777777777778,2.77777777777778,1.44444444444444,9,"691de99ad8a44643f15ad22a",2486,"33","Male","Black","Nigeria","United Kingdom","Nigeria","English","No","Full-Time",0.694338172047358,0.716548104471413,0.643489449069003,0.640836868336133,0.623335303660195,2.77777777777778,0.820479768003714,0.9274029550511,0.590541795442822,0.578998237929533
